ID_PROPOSTA;QUALIF_PROPONENTE;COD_PROGRAMA_EMENDA;NR_EMENDA;NOME_PARLAMENTAR;BENEFICIARIO_EMENDA;IND_IMPOSITIVO;TIPO_PARLAMENTAR;VALOR_REPASSE_PROPOSTA_EMENDA;VALOR_REPASSE_EMENDA
588275;BENEFICIARIO_EMENDA_PARLAMENTAR;5100020120077;31250010;ANTONIO BALHMANN;07535446000160;NÃO;INDIVIDUAL;292500;292500
490954;BENEFICIARIO_EMENDA_PARLAMENTAR;2200020110005;10560008;SERGIO SOUZA;75771279000106;NÃO;INDIVIDUAL;97500;97500
646294;BENEFICIARIO_EMENDA_PARLAMENTAR;5600020120020;27650005;RENZO BRAZ;66230384000147;NÃO;INDIVIDUAL;265630;264245,4
586235;BENEFICIARIO_EMENDA_PARLAMENTAR;5200020120071;26850008;PADRE TON;04092714000128;NÃO;INDIVIDUAL;250000;250000
1066053;BENEFICIARIO_EMENDA_PARLAMENTAR;5100020160020;36850006;JOAO DERLY;88254875000160;SIM;INDIVIDUAL;243750;243750
864764;BENEFICIARIO_EMENDA_PARLAMENTAR;5600020140001;34160007;PEDRO HENRY;37465002000166;SIM;INDIVIDUAL;493100;178020
1163378;BENEFICIARIO_EMENDA_PARLAMENTAR;5400020170005;33760002;VICENTE ARRUDA;07667926000184;SIM;INDIVIDUAL;1685775;1685775
630760;BENEFICIARIO_EMENDA_PARLAMENTAR;5400020120003;29450003;ROMANA REMOR;83169623000110;NÃO;INDIVIDUAL;1092000;1092000
1061983;BENEFICIARIO_EMENDA_PARLAMENTAR;5600020160015;28650001;JOSE STEDILE;87990800000185;SIM;INDIVIDUAL;245850;245850
1243766;BENEFICIARIO_EMENDA_PARLAMENTAR;3000020170190;71020002;BANCADA DO ACRE;63608947000108;NÃO;BANCADA;70000000;20132038
849402;BENEFICIARIO_EMENDA_PARLAMENTAR;5600020140001;24420004;JOSE GUIMARAES;07728421000182;SIM;INDIVIDUAL;394200;394200
448710;BENEFICIARIO_EMENDA_PARLAMENTAR;2200020110004;24530004;BRUNO ARAUJO;10091577000100;NÃO;INDIVIDUAL;292500;292500
725219;BENEFICIARIO_EMENDA_PARLAMENTAR;5600020130013;23550011;SILVIO COSTA;10091494000110;NÃO;INDIVIDUAL;493100;493100
866699;BENEFICIARIO_EMENDA_PARLAMENTAR;5100020140001;12210009;INOCENCIO OLIVEIRA;10167310000159;SIM;INDIVIDUAL;292500;292500
436255;BENEFICIARIO_EMENDA_PARLAMENTAR;5300020110146;31360003;;08999682000108;NÃO;;2500000;2500000
1083839;BENEFICIARIO_EMENDA_PARLAMENTAR;3600020160049;14050013;MARIO HERINGER;17200429000125;SIM;INDIVIDUAL;99824;99824
1160852;BENEFICIARIO_EMENDA_PARLAMENTAR;2012920170027;27690011;ZE SILVA;18026021000141;SIM;INDIVIDUAL;100000;97500
661337;BENEFICIARIO_EMENDA_PARLAMENTAR;5600020120020;50230003;COMISSAO DE DESENVOLVIMENTO URBANO - CDU;08867780000183;NÃO;COMISSAO;987600;987600
